interests,user,interested_categories
"Running,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Erika M,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Philosophy,Nutrition,Critical Thinking,Alternative Medicine,Consciousness,Wellness,Business Strategy,Self Exploration,Skeptics,Recreational Sports,Locals & New in Town,Fun Times,Startup Businesses,20's & 30's Social,Spirituality,Sports and Recreation,Running,Law of Attraction,Healthy Living,Exercise,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",David D.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Beliefs,Book Clubs"
"Open Source,Data Mining,Art,New Technology,Business Intelligence,Data Visualization,Data Analytics,Machine Learning,Google,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Zeke,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Fashion & Beauty,Photography,Arts,Tech,Hobbies & Crafts,Movements,Beliefs,Book Clubs"
"Beer,Coffee,Meditation,Guided Meditation,Science Fiction,Games,Art,3D Artists,Creativity,Reading,Weekend Adventures,Hiking,Recreational Sports,Walking,Outdoor  Fitness,Cloud Computing,Computer programming,New Technology,Big Data,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",Chris H.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Writing,Music,Social,LGBTQ,Sci-Fi & Games,Fashion & Beauty,Photography,Arts,Tech,Hobbies & Crafts,Movements,Beliefs,Book Clubs"
"Foreign Affairs,Foreign Relations,Digital Publishing,Screenwriting,Business Strategy,Innovation,Startup Businesses,Journalism,Big Data,Data,Big Data,Artificial Intelligence,Machine Learning,Data Science,Data Visualization,Data Mining,Data Analytics,Internet Startups,Venture Capital,Entrepreneurship,Startup Businesses,New York City,Technology Startups,Deep Learning",David W.,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Movements,Book Clubs"
"Beer,New Technology,Startup Businesses,Digital Media,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Christina,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Singles,Polyamory,Education,New Technology,Sports and Recreation,Outdoors,Travel,Hiking,Dating and Relationships,Single Professionals,Watching Movies,Coffee,Interracial Dating,Computer programming,Interracial singles,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",prashant,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Photography,Beliefs"
"Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Manami,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Lourdes 💚,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Fitness,Hiking,Outdoors,Live Music,Music,Guitar,Acoustic Music,Singing,Songwriting,Musicians,Folk Music,New In Town,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",scotthselt,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Music,Social,Sci-Fi & Games,Beliefs"
"Outdoors,Hiking,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Doron,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Indie Films,Film,Foreign Films,World Cinema,Erasmus,International and Exchange Students,Culture Exchange,Pub Crawl,Pub Crawls,international students,Spanish Language,Bachata,Dancing,Social Dancing,Healthy Living,Salsa,Multicultural Friends Multicultural Dating,Languages,English Language,Latin Language,Multi-Languages Exchanges Party,Multilingual,International Friends,Polyglot,French Language,Dating and Relationships,Expat,Wine,Dining Out,Beer,Drinking,Eating, Drinking, Talking, Laughing, Etc,Game Night,Rooftops,rooftopping,Travel,Happy Hour,Hangout,Artists,Language Exchange,Dinner,Pubs and Bars,Movie Nights,Nightlife,New In Town,Paris,Photography,Art,Education,Crafts,Wellness,Sports and Recreation,Language & Culture,Social,Music,Outdoors,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Lau C.,"Health & Wellness,Food & Drink,Career & Business,Language & Culture,Outdoors & Adventure,Dance,Writing,Music,Social,LGBTQ,Sci-Fi & Games,Fashion & Beauty,Photography,Arts,Tech,Hobbies & Crafts,Beliefs"
"Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Marta,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Walking,Kayaking,Outdoors,Adventure,Outdoor  Fitness,Snowboarding,Hiking,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Monica,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"New Technology,Foodie,Bicycling,Outdoors,Outdoor Adventures,Self-Improvement,Dining Out,Roleplaying Games (RPGs),Fitness,Weekend Adventures,Cycling,Food and Drink,Hiking,Exercise,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Mitch,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Studio Photography,Portrait Photography,Women's Empowerment,Ladies' Brunch,Women of Color,Girls' Night Out,Staying Active,Karaoke,Latin Music,Music,House Music,Soul Music,Foodie,Cocktails,Wine and Food Pairing,Dinner and Drinks,Brunch,Cooking,Graphic Design,Cultural Creatives,Mixed Media Art,Architecture,Storytelling,Concerts,Photography,Reading,Eating, Drinking, Talking, Laughing, Etc,Digital Photography,Weight Loss,Wine,African American Women,Black Singles,Line Dancing,Black Women,Black Professionals,Art,Travel,Photoshop,Live Music,Photography Classes,Nature Photography,Outdoors,Dining Out,Walking,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Joyce R.,"Health & Wellness,Food & Drink,Career & Business,Language & Culture,Outdoors & Adventure,Music,LGBTQ,Social,Sci-Fi & Games,Fashion & Beauty,Photography,Arts,Tech,Hobbies & Crafts,Movements,Beliefs,Family,Book Clubs"
"Rock Climbing,Road Cycling,Singles,Dining Out,Wine,Outdoor  Fitness,Hiking,Fitness,Outdoors,Adventure,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Leslie,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Arts,Beliefs"
"Museum,Theater,Performing Arts,Dancing,Travel,Bicycling,Fitness,Dating and Relationships,Qi Gong,Meditation,Energy Healing,Camping,Snowshoeing,Weekday Actitivies,Rock Climbing,Social,Singles Dance Lesson,Singles Dancing,Backpacking,Outdoors,Adventure,Singles,Outdoor  Fitness,Singles 30's-50's,Yoga,Mountaineering,Hiking,Tango,Opera,Classical Music,Art,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Yury,"Health & Wellness,Career & Business,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Music,Social,Sci-Fi & Games,Fashion & Beauty,Photography,Arts,Tech,Hobbies & Crafts,Beliefs"
"Language & Culture,Literature,Investing,Conscious Movement,Photography,New Technology,Happy Hour,Online Marketing,Salsa,Girls' Night Out,Culture Exchange,Urban Exploration,Intellectual Discussion,Bollywood Dancing,Startup Businesses,International Travel,Knowledge Sharing,Books and Drinks,Women's Social,Communication Skills,Reading,International Friends,Bicycling,Outdoors,Outdoor Adventures,Fiction,Big Data,Digital Photography,Travel,Travel Photography,Book Club,Book Swap,Philosophy,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Nidhi B.,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,Dance,LGBTQ,Writing,Social,Sci-Fi & Games,Photography,Arts,Tech,Beliefs,Book Clubs"
"New Technology,International Travel,Outdoors,Outdoor Adventures,Collaboration,Hiking,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",onlinejt,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",jonathan,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Graciella,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Exercise,Fun Times,Bicycling,Singles,Adventure,Social,Dating and Relationships,20's Social,20's & 30's Social,Outdoors,Travel,Hiking,Intellectual Discussion,Documentary Films,Language Exchange,Language & Culture,English Language,Software Development,New Technology,Technology Startups,Entrepreneurship,Big Data,Open Source,Technology,New York City,Fitness,Community Service,Volunteering,Walking,Museum,Shyness,Social Anxiety,Origami,Young Professional Singles,Ultimate Frisbee,Environment,Kite Flying,Capture the Flag,Culture,Urban Exploration,Chess,International and Exchange Students,Park Games,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",David L.,"Health & Wellness,Food & Drink,Career & Business,Language & Culture,Outdoors & Adventure,LGBTQ,Music,Social,Sci-Fi & Games,Fashion & Beauty,Photography,Arts,Tech,Movements,Beliefs,Sports & Fitness,Book Clubs"
"Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Johnny S,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Beliefs"
"Christian,Cultural Activities,Bible Study,Exercise,Coffee,Whole Food Nutrition,Nutrition,Vegan,Cooking,Recipes,Vegetarian,Fitness,Yoga,Wellness,Healthy Living,Group Fitness Training,Outdoor  Fitness,Nature,Hiking,City Walks,Outdoor Adventures,Outdoors,WILDERNESS HIKING,Walking,Hiking,Adventure,Camping,Backpacking,Rock Climbing,Outdoors,Cycling,Outdoor  Fitness,Exercise,Fitness,Bicycling,Sports and Recreation,Kayaking,Mountain Biking",Sherry,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Tech,Beliefs,Family"
"Bowling,Soccer,Basketball,Video Games,Game Night,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Sergio,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Bicycling,Fun Times,Travel,Philosophy,Asian Americans,Tours,Sustainable Development,Environment,Nature,Expat,Exercise,Music Industry,Education & Technology,Local Activities,Culture Exchange,Jewelry Making,Intellectual Discussion,Sexual Education,20's & 30's Social,Exploring,Fitness,Soccer,Engineering,English as a Second Language,Community Building,Learning,Outdoor  Fitness,Cycling,Sport Bikes,Communication Skills,Conversation,Activism,Hiking,Nonprofit,Sports and Recreation,Crafts,Social,Outdoors,Language & Culture,Music,Community,Education,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Kamran,"Health & Wellness,Career & Business,Language & Culture,Outdoors & Adventure,LGBTQ,Music,Social,Fashion & Beauty,Photography,Arts,Hobbies & Crafts,Movements,Beliefs,Sports & Fitness,Family"
"Sports and Recreation,Soccer,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",alexi h.,"Social,Health & Wellness,Outdoors & Adventure,Sports & Fitness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Wendy,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Chan,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Futbol,NYC Soccer,Soccer,Technology Startups,Mobile Development,Mobile Technology,Ruby On Rails,Web Design,New Technology,Open Source,JavaScript,Web Development,Startup Businesses,Software Development,Computer programming,Technology,Internet Startups,Pick-Up Soccer,Martial Arts,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Reuben,"Health & Wellness,Career & Business,Outdoors & Adventure,Social,Tech,Sports & Fitness"
"English as a Second Language,Walking,Volleyball,Pick-Up Soccer,Soccer,Massage Therapy,Divorce Support,Sports and Recreation,Language & Culture,Learning,Creative Writing,Intellectual Discussion,Communication Skills,Basketball,Alternative Medicine,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Alihan N.,"Health & Wellness,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Arts,Sports & Fitness,Family"
"Mountain Biking,Self-Improvement,Meditation,Philosophy,Reading,Live Music,Graphic Design,Film,Communication Skills,Watching Movies,Leadership,Eating, Drinking, Talking, Laughing, Etc,Music,Artists,Creativity,Digital Photography,Entrepreneurship,New Technology,Technology,Small Business Networking,WordPress,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Brandon P.,"Health & Wellness,Career & Business,Language & Culture,Outdoors & Adventure,Writing,Music,Social,Learning,Fashion & Beauty,Photography,Arts,Tech,Beliefs,Sports & Fitness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Hakim b.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",William,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Juan Montoya P.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Pedro,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Outdoor Soccer,Experienced Soccer Players,Pick-Up Soccer,Soccer,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Aditya K.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Junior W.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Pick-Up Soccer,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Manu C.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Victor W.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Indoor Soccer,Pick-Up Soccer (Summer),Futbol,Co-ed Soccer,Outdoor Soccer,Coed Soccer,Pick-Up Soccer,Travel,Soccer,Fitness,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",ken,"Health & Wellness,Outdoors & Adventure,LGBTQ,Social,Beliefs,Sports & Fitness"
"Arabic Language,Play Cricket Recreationally,Cricket,Futbol,Indoor Soccer,Soccer,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Khalid M.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Victor B.,"Social,Sports & Fitness,Outdoors & Adventure,Health & Wellness"
"Pick-Up Soccer,Business Strategy,Project Management,Startup Businesses,Professional Development,Sports and Recreation,Basketball,Sports Fan,Soccer,New Technology,Web Technology,Social Media,Technology Startups,Information Technology,Big Data,Walking,Pubs and Bars,Young Professionals,Having Fun,Dancing,Wine,Young Professional Singles,Beer,20's & 30's Social,Happy Hour,Hiking,Fitness,Outdoors,Dating and Relationships,Dining Out,Watching Movies,Live Music,Adventure,Single Professionals,Travel,Coed Soccer,Soccer,Pick-Up Soccer,European Football,Sports and Recreation,Beer,English Premier League",Rishav,"Health & Wellness,Food & Drink,Language & Culture,Outdoors & Adventure,LGBTQ,Social,Sci-Fi & Games,Arts,Tech,Beliefs,Sports & Fitness"
